domain,Workpackage,treatment,time,Final_Taxonomy,tpm
Prokaryotes,WP2,R+P,0h,Gammaproteobacteria,14871.43663336585
Prokaryotes,WP2,R+P,0h,Other prokaryotes,92273.78337958005
Prokaryotes,WP2,R+P,0h,Planctomycetota,40478.011111470754
Prokaryotes,WP2,R+P,0h,Pseudomonadales,197299.82884868528
Prokaryotes,WP2,R+P,0h,Puniceispirillales,13170.534901131436
Prokaryotes,WP2,R+P,0h,Rhizobiales,9860.056083619193
Prokaryotes,WP2,R+P,0h,Rhodobacterales,240600.15499220835
Prokaryotes,WP2,R+P,0h,SAR86,23985.99409574234
Prokaryotes,WP2,R+P,72h,Actinobacteriota,14680.845509886427
Prokaryotes,WP2,R+P,72h,Alphaproteobacteria,54756.90165487834
Prokaryotes,WP2,R+P,72h,Archaea,23967.533259978285
Prokaryotes,WP2,R+P,72h,Bacteroidota,49790.70176583477
Prokaryotes,WP2,R+P,72h,Beggiatoales,6711.507873176546
Prokaryotes,WP2,R+P,72h,Burkholderiales,19498.67368322463
Prokaryotes,WP2,R+P,72h,Cyanobacteria,44762.71941723597
Prokaryotes,WP2,R+P,72h,Enterobacterales,31411.363994495296
Prokaryotes,WP2,R+P,72h,Firmicutes,15232.120370868348
Prokaryotes,WP2,R+P,72h,Flavobacteriales,198690.19491084348
Prokaryotes,WP2,R+P,72h,Gammaproteobacteria,12226.318841889037
Prokaryotes,WP2,R+P,72h,Other prokaryotes,76118.55216676653
Prokaryotes,WP2,R+P,72h,Planctomycetota,197623.1286442849
Prokaryotes,WP2,R+P,72h,Pseudomonadales,165036.1587822841
Prokaryotes,WP2,R+P,72h,Puniceispirillales,20973.185606871426
Prokaryotes,WP2,R+P,72h,Rhizobiales,10713.556482174066
Prokaryotes,WP2,R+P,72h,Rhodobacterales,90770.31943285126
Prokaryotes,WP2,R+P,72h,SAR86,9306.758391039433
Eukaryotes,WP2,C,0h,Alexandrium,22444.59012195216
Eukaryotes,WP2,C,0h,Amoebozoa,31643.688783264064
Eukaryotes,WP2,C,0h,Bacillariophyta,1052809.4884150869
Eukaryotes,WP2,C,0h,Chaetoceros,389725.1101281147
Eukaryotes,WP2,C,0h,Chlorophyta,56407.82654395582
Eukaryotes,WP2,C,0h,Choreotrichida,136554.62386472448
Eukaryotes,WP2,C,0h,Ciliophora,35688.27966993819
Eukaryotes,WP2,C,0h,Dinoflagellata,26619.460251620534
Eukaryotes,WP2,C,0h,Dinophyceae,107145.25528384847
Eukaryotes,WP2,C,0h,Eukaryota,25493.249050891125
Eukaryotes,WP2,C,0h,Glaucophyta,12660.643866078151
Eukaryotes,WP2,C,0h,Gonyaulacales,62918.54557440213
Eukaryotes,WP2,C,0h,Gymnodiniales,57601.20531245125
Eukaryotes,WP2,C,0h,Hacrobia,109845.89412572709
Eukaryotes,WP2,C,0h,Micromonas,13973.184039456082
Eukaryotes,WP2,C,0h,Ochrophyta,188285.42148931074
Eukaryotes,WP2,C,0h,Opisthokonta,28609.80598153185
Eukaryotes,WP2,C,0h,Ostreococcus,14688.692809507607
Eukaryotes,WP2,C,0h,Peridiniales,62887.95649428424
Eukaryotes,WP2,C,0h,Pseudo-nitzschia,21771.89381253476
Eukaryotes,WP2,C,0h,Rhizaria,47657.091463681245
Eukaryotes,WP2,C,0h,Rhodophyta,6549.44728017508
Eukaryotes,WP2,C,0h,Sagenista,24908.019572022404
Eukaryotes,WP2,C,0h,Scrippsiella,9609.87446707584
Eukaryotes,WP2,C,0h,Skeletonema,18170.58765555866
Eukaryotes,WP2,C,0h,Spirotrichea,57984.23528761561
Eukaryotes,WP2,C,0h,Stramenopiles,99669.99040115555
Eukaryotes,WP2,C,0h,Suessiales,92284.00082282783
Eukaryotes,WP2,C,0h,Symbiodinium,29971.436042298374
Eukaryotes,WP2,C,0h,Syndiniales,1686.090786229061
Eukaryotes,WP2,C,0h,Thalassiosira,134777.41863811496
Eukaryotes,WP2,C,0h,Tintinnida,18956.991964564855
Eukaryotes,WP2,C,72h,Alexandrium,30210.43396107865
Eukaryotes,WP2,C,72h,Amoebozoa,107733.31492193727
Eukaryotes,WP2,C,72h,Bacillariophyta,501605.1849574129
Eukaryotes,WP2,C,72h,Chaetoceros,119698.77348007206
Eukaryotes,WP2,C,72h,Chlorophyta,105184.93605463486
Eukaryotes,WP2,C,72h,Choreotrichida,54445.61653015265
Eukaryotes,WP2,C,72h,Ciliophora,55039.24561906595
Eukaryotes,WP2,C,72h,Dinoflagellata,67316.91058121945
Eukaryotes,WP2,C,72h,Dinophyceae,248311.54920851815
Eukaryotes,WP2,C,72h,Eukaryota,60618.48560542433
Eukaryotes,WP2,C,72h,Glaucophyta,37319.590823993996
Eukaryotes,WP2,C,72h,Gonyaulacales,121238.72943325902
Eukaryotes,WP2,C,72h,Gymnodiniales,124946.5657632327
Eukaryotes,WP2,C,72h,Hacrobia,169258.9457164182
Eukaryotes,WP2,C,72h,Micromonas,5875.955131923274
Eukaryotes,WP2,C,72h,Ochrophyta,122049.26944319886
Eukaryotes,WP2,C,72h,Opisthokonta,94083.86975771595
Eukaryotes,WP2,C,72h,Ostreococcus,4215.762061149768
Eukaryotes,WP2,C,72h,Peridiniales,119646.38396356904
Eukaryotes,WP2,C,72h,Pseudo-nitzschia,8789.273667965337
Eukaryotes,WP2,C,72h,Rhizaria,86476.28414795923
Eukaryotes,WP2,C,72h,Rhodophyta,20131.062564223153
Eukaryotes,WP2,C,72h,Sagenista,46401.81222919682
Eukaryotes,WP2,C,72h,Scrippsiella,22726.628274428404
Eukaryotes,WP2,C,72h,Skeletonema,4676.903085882349
Eukaryotes,WP2,C,72h,Spirotrichea,59729.75724667791
Eukaryotes,WP2,C,72h,Stramenopiles,242345.44693137507
Eukaryotes,WP2,C,72h,Suessiales,251480.90799783973
Eukaryotes,WP2,C,72h,Symbiodinium,65224.319252250716
Eukaryotes,WP2,C,72h,Syndiniales,1755.55996704185
Eukaryotes,WP2,C,72h,Thalassiosira,24502.850089139338
Eukaryotes,WP2,C,72h,Tintinnida,16959.671532042972
Eukaryotes,WP2,R,0h,Alexandrium,19743.926821598365
Eukaryotes,WP2,R,0h,Amoebozoa,10419.344094070495
Eukaryotes,WP2,R,0h,Bacillariophyta,1417873.7939596735
Eukaryotes,WP2,R,0h,Chaetoceros,742815.703511401
Eukaryotes,WP2,R,0h,Chlorophyta,44238.793393267915
Eukaryotes,WP2,R,0h,Choreotrichida,23307.18513723758
Eukaryotes,WP2,R,0h,Ciliophora,17580.947981995978
Eukaryotes,WP2,R,0h,Dinoflagellata,7742.913681705428
Eukaryotes,WP2,R,0h,Dinophyceae,35022.11522856239
Eukaryotes,WP2,R,0h,Eukaryota,12489.315453062358
Eukaryotes,WP2,R,0h,Glaucophyta,3708.9680001803663
Eukaryotes,WP2,R,0h,Gonyaulacales,25293.35211220591
Eukaryotes,WP2,R,0h,Gymnodiniales,17258.39473835449
Eukaryotes,WP2,R,0h,Hacrobia,56801.766628866055
Eukaryotes,WP2,R,0h,Micromonas,16798.43431995225
Eukaryotes,WP2,R,0h,Ochrophyta,166344.83976411726
Eukaryotes,WP2,R,0h,Opisthokonta,8379.784761440435
Eukaryotes,WP2,R,0h,Ostreococcus,12364.980454103665
Eukaryotes,WP2,R,0h,Peridiniales,33487.5748101052
Eukaryotes,WP2,R,0h,Pseudo-nitzschia,23961.384760627338
Eukaryotes,WP2,R,0h,Rhizaria,30912.540439930402
Eukaryotes,WP2,R,0h,Rhodophyta,2980.47069415341
Eukaryotes,WP2,R,0h,Sagenista,22177.42836781327
Eukaryotes,WP2,R,0h,Scrippsiella,5131.22612136955
Eukaryotes,WP2,R,0h,Skeletonema,20662.603627082
Eukaryotes,WP2,R,0h,Spirotrichea,21635.74700405755
Eukaryotes,WP2,R,0h,Stramenopiles,27198.523860504065
Eukaryotes,WP2,R,0h,Suessiales,21582.21688815616
Eukaryotes,WP2,R,0h,Symbiodinium,8256.466823771363
Eukaryotes,WP2,R,0h,Syndiniales,920.211804416528
Eukaryotes,WP2,R,0h,Thalassiosira,133438.96855388928
Eukaryotes,WP2,R,0h,Tintinnida,9470.076202327931
Eukaryotes,WP2,R,72h,Alexandrium,12290.94817231356
Eukaryotes,WP2,R,72h,Amoebozoa,47232.119359026605
Eukaryotes,WP2,R,72h,Bacillariophyta,887826.5339523809
Eukaryotes,WP2,R,72h,Chaetoceros,534733.8921669954
Eukaryotes,WP2,R,72h,Chlorophyta,54847.98396187754
Eukaryotes,WP2,R,72h,Choreotrichida,114600.8355286135
Eukaryotes,WP2,R,72h,Ciliophora,28917.147595438364
Eukaryotes,WP2,R,72h,Dinoflagellata,26271.90306529653
Eukaryotes,WP2,R,72h,Dinophyceae,103730.24621166917
